Anno,Position,id,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
2021-22,F,27,Oklahoma City Thunder,82,24,58,.293,23.3,45.9,17.4,39.8,43.7,5.8,17.6,33.3,5.3,7.7,68.5,6.4,19.2,25.7,8.2,6.8,3.8,2.8,2.7,8.7,7.2,-3.4
2021-22,F,28,Detroit Pistons,82,23,59,.280,23.8,55.0,19.6,44.8,43.8,5.9,17.7,33.4,9.8,12.5,78.5,6.9,18.3,25.3,8.6,6.9,3.1,2.9,2.3,10.2,10.8,-3.9
2021-22,F,29,Orlando Magic,82,22,60,.268,23.4,52.7,19.5,43.2,45.1,5.9,18.4,32.1,7.8,9.7,79.8,4.6,19.0,23.6,9.6,7.0,3.2,1.9,2.4,9.0,8.9,-3.8
2021-22,F,30,Houston Rockets,82,20,62,.244,23.1,54.0,20.2,42.1,48.1,5.6,15.9,35.5,7.9,12.0,65.8,5.8,20.0,25.8,11.6,8.0,3.5,2.8,2.9,11.0,11.0,-4.0
2021-22,C,1,Phoenix Suns,82,64,18,.780,9.6,26.3,11.2,18.3,60.9,0.3,1.0,28.0,3.7,5.3,70.5,5.4,12.1,17.5,2.0,2.6,1.1,2.1,0.9,5.6,5.0,1.5
2021-22,C,2,Memphis Grizzlies,82,56,26,.683,12.1,25.0,9.0,20.5,43.8,2.0,6.5,30.0,5.1,7.1,71.2,6.4,10.3,16.6,4.7,3.2,2.0,3.2,1.9,6.3,6.4,1.8
2021-22,C,3,Miami Heat,82,53,29,.646,8.8,21.8,8.5,15.4,55.3,0.2,0.8,31.3,4.5,6.1,73.7,4.0,11.2,15.2,3.5,2.7,1.5,1.3,1.0,5.2,5.5,1.0
2021-22,C,4,Dallas Mavericks,82,52,30,.634,8.0,19.3,7.1,13.0,54.8,0.8,2.6,29.6,4.3,5.5,78.8,3.3,6.5,9.8,2.2,2.1,0.9,1.4,0.7,4.6,5.3,0.4
2021-22,C,5,Milwaukee Bucks,61,38,23,.623,3.5,8.1,3.0,6.3,47.5,0.9,2.5,35.3,1.2,1.5,80.4,1.5,2.7,4.2,0.8,1.1,0.6,0.6,0.5,1.9,1.7,-0.3
2021-22,C,6,Boston Celtics,82,51,31,.622,11.6,20.1,8.2,14.4,57.1,1.2,3.7,33.6,2.4,3.1,77.9,5.5,11.8,17.3,4.8,3.2,1.5,3.2,0.6,4.5,2.8,2.3
2021-22,C,6,Philadelphia 76ers,82,51,31,.622,8.7,30.7,10.4,20.4,51.2,1.1,3.1,36.2,8.7,11.1,78.5,4.1,12.8,16.9,4.8,2.3,1.7,2.1,1.3,4.4,8.5,0.7
2021-22,C,8,Utah Jazz,80,49,31,.613,8.8,20.7,7.8,11.2,69.2,0.0,0.1,0.0,5.2,7.8,66.8,5.4,13.9,19.4,1.3,2.6,0.9,3.2,1.0,4.8,6.9,1.6
2021-22,C,9,Toronto Raptors,81,48,33,.593,6.7,12.5,4.5,9.7,47.0,0.8,3.0,27.9,2.5,3.3,76.6,3.7,5.4,9.1,1.0,1.7,1.0,1.3,0.7,3.4,3.0,0.5
2021-22,C,10,Denver Nuggets,82,48,34,.585,11.6,36.8,13.8,25.1,54.8,2.3,7.0,33.7,6.9,8.8,79.0,4.8,15.1,20.0,8.8,3.6,2.3,1.4,1.6,6.4,8.5,0.7
2021-22,C,11,Brooklyn Nets,74,42,32,.568,6.9,17.6,7.4,12.4,59.9,0.2,0.6,29.8,2.5,3.7,67.5,3.5,6.9,10.4,1.6,2.0,0.8,1.6,0.7,3.5,3.3,0.1
2021-22,C,12,Chicago Bulls,82,46,36,.561,8.2,19.5,8.2,16.9,48.7,1.3,4.1,31.1,1.8,2.5,69.4,3.1,10.4,13.5,3.4,2.2,1.1,1.4,0.9,3.5,2.7,0.1
2021-22,C,12,Minnesota Timberwolves,82,46,36,.561,9.9,32.0,11.4,22.0,51.8,2.6,6.6,38.7,6.6,8.3,79.8,4.1,9.8,13.9,4.6,2.9,1.5,2.0,1.7,6.0,7.4,0.5
